,Day,Arsenal,AstonVilla,Bournemouth,Brentford,Brighton,Chelsea,CrystalPalace,Everton,Fulham,Leeds,LeicesterCity,Liverpool,ManchesterCity,ManchesterUtd,Newcastle,NottinghamForest,Southampton,Tottenham,WestHam,Wolves
57,2022-10-06,21,1,3,1,9,19,1,2,1,11,1,8,13,26,6,3,3.0,5,12,5
58,2022-10-07,10,1,3,1,10,11,1,3,1,12,1,10,6,8,7,3,4.0,5,4,6
59,2022-10-08,10,2,10,8,37,40,2,5,2,13,13,13,43,8,16,4,65.0,36,3,48
60,2022-10-09,78,2,4,1,13,14,18,100,17,26,3,63,12,31,7,4,8.0,11,20,9
61,2022-10-10,13,19,3,1,10,12,2,19,3,12,1,13,6,10,6,21,4.0,5,4,5
62,2022-10-11,6,5,3,1,8,43,1,3,1,11,1,9,35,7,6,6,4.0,5,2,5
63,2022-10-12,6,2,3,1,8,18,1,2,1,12,1,31,8,6,6,3,3.0,32,2,5
64,2022-10-13,22,1,3,1,9,9,1,2,1,11,1,16,5,20,6,2,3.0,12,12,6
65,2022-10-14,8,2,3,14,29,10,2,3,2,12,1,9,5,11,7,3,4.0,5,5,6
66,2022-10-15,8,3,10,5,16,13,21,32,15,15,20,14,12,12,9,15,4.0,49,4,19
67,2022-10-16,48,33,4,1,9,40,3,8,3,79,3,82,75,46,54,5,9.0,14,13,7
68,2022-10-17,8,4,3,1,9,11,2,2,1,15,1,15,10,7,9,3,4.0,5,3,6
69,2022-10-18,6,3,3,1,29,10,18,3,2,11,2,9,5,7,6,16,4.0,5,3,17
70,2022-10-19,10,2,7,17,12,30,6,12,2,12,1,28,8,28,14,5,6.0,81,45,9
71,2022-10-20,28,15,4,4,8,14,2,5,17,25,11,13,5,13,8,3,4.0,28,12,6
72,2022-10-21,9,9,3,1,9,12,2,3,7,16,5,9,5,10,7,5,4.0,6,3,5
73,2022-10-22,9,4,3,1,100,100,19,19,3,13,2,41,41,47,7,100,4.0,8,3,7
74,2022-10-23,33,20,3,12,16,23,3,5,16,26,14,10,8,10,28,10,35.0,52,3,20
75,2022-10-24,6,5,14,1,9,11,1,2,3,13,2,8,5,6,9,4,5.0,8,23,6
76,2022-10-25,5,3,6,1,9,43,1,2,2,11,1,9,28,7,7,3,3.0,5,7,5
77,2022-10-26,5,2,3,1,8,15,1,2,1,11,1,26,9,7,6,3,3.0,37,2,5
78,2022-10-27,25,2,3,1,9,9,1,2,1,11,1,12,4,23,6,3,3.0,14,11,5
79,2022-10-28,8,2,3,1,11,10,1,2,2,12,3,8,4,13,7,3,4.0,5,5,5
80,2022-10-29,8,15,21,5,71,48,9,13,16,71,100,35,32,11,19,6,6.0,36,5,11
81,2022-10-30,40,4,5,1,16,13,3,5,4,27,6,16,7,34,8,70,4.0,8,100,6
82,2022-10-31,8,2,3,1,10,9,1,2,1,13,2,9,4,10,6,8,3.0,6,14,5
83,2022-11-01,5,2,3,1,9,10,1,2,1,12,1,32,5,6,6,3,3.0,57,3,5
84,2022-11-02,5,2,3,1,9,29,1,2,1,12,1,16,25,7,6,3,3.0,22,2,5
85,2022-11-03,19,2,3,1,8,15,1,2,2,11,1,8,9,51,6,3,3.0,5,13,5
86,2022-11-04,9,2,3,1,10,9,2,2,2,12,1,8,4,11,7,3,4.0,5,7,5
87,2022-11-05,10,5,12,6,27,14,2,21,79,31,15,11,37,10,6,14,4.0,8,3,21
88,2022-11-06,51,100,4,1,11,66,13,5,8,15,5,38,9,41,18,4,12.0,73,17,7
89,2022-11-07,9,7,3,1,9,12,2,4,2,12,1,15,4,10,7,3,5.0,14,3,5
90,2022-11-08,6,3,7,4,9,9,2,10,2,11,7,10,4,7,7,3,3.0,5,2,5
91,2022-11-09,21,3,4,2,42,36,9,4,1,16,3,21,23,6,12,17,5.0,18,10,9
92,2022-11-10,10,61,3,1,21,19,3,2,1,13,1,13,10,27,8,8,4.0,9,6,6
93,2022-11-11,5,30,3,1,10,9,2,2,2,11,1,9,5,13,7,3,4.0,5,3,6
94,2022-11-12,32,4,8,69,12,40,10,11,4,43,10,30,37,10,34,14,35.0,38,15,43
95,2022-11-13,14,26,4,5,39,15,2,4,100,13,2,12,7,27,11,4,6.0,8,3,18
96,2022-11-14,5,3,3,1,9,8,1,2,13,11,1,8,5,9,6,2,3.0,4,2,5
97,2022-11-15,4,1,3,1,8,8,1,2,2,11,1,7,3,6,6,2,3.0,3,1,4
98,2022-11-16,4,1,2,1,8,7,1,2,1,10,1,7,2,5,6,2,3.0,3,1,4
99,2022-11-17,3,1,2,1,8,7,1,2,1,10,1,7,2,6,6,2,3.0,3,1,4
100,2022-11-18,3,1,2,1,8,7,1,2,1,10,1,9,2,4,5,2,3.0,3,1,4
101,2022-11-19,5,1,3,1,9,8,1,3,1,10,1,9,3,7,5,2,3.0,3,1,5
102,2022-11-20,4,2,3,0,9,8,1,6,1,8,1,8,3,5,5,2,3.0,4,2,5
103,2022-11-21,3,1,2,0,8,7,1,2,1,10,1,8,3,4,5,2,3.0,3,1,4
104,2022-11-22,4,1,2,0,7,7,1,1,1,9,1,7,2,7,5,1,3.0,3,1,4
105,2022-11-23,3,1,2,0,8,8,1,3,1,10,1,6,3,9,5,2,3.0,3,1,4
106,2022-11-24,4,1,2,0,8,7,1,2,1,10,1,7,3,7,5,1,3.0,5,1,4
107,2022-11-25,4,1,2,0,8,8,1,2,1,9,1,6,2,4,5,2,3.0,4,1,4
108,2022-11-26,3,1,3,0,9,8,1,2,1,9,1,6,3,6,5,2,3.0,4,1,4
109,2022-11-27,3,1,2,0,8,8,1,2,1,9,1,6,3,6,5,2,3.0,3,2,4
110,2022-11-28,3,1,2,0,8,7,2,2,1,9,1,6,2,4,5,2,3.0,4,2,4
111,2022-11-29,3,1,2,0,7,7,1,2,1,9,1,6,2,3,5,2,3.0,3,1,4
112,2022-11-30,3,2,2,0,8,6,1,2,1,9,1,5,2,5,4,1,3.0,3,1,4
113,2022-12-01,3,1,2,0,7,6,1,1,1,9,1,5,2,4,4,1,2.0,2,1,4
114,2022-12-02,3,1,2,0,8,7,1,2,1,9,1,5,2,4,4,3,3.0,3,1,4
115,2022-12-03,4,2,2,0,9,8,7,2,1,9,2,5,2,7,5,2,3.0,4,1,4
116,2022-12-04,4,1,2,0,8,8,2,2,1,8,1,6,3,4,4,2,3.0,4,2,4
117,2022-12-05,3,1,2,0,8,6,1,2,1,9,1,6,2,3,5,2,3.0,4,1,4
118,2022-12-06,3,1,2,0,8,7,1,2,1,9,1,6,2,4,5,6,3.0,4,3,4
119,2022-12-07,4,1,2,0,8,7,6,2,1,10,1,6,2,12,5,2,3.0,3,1,4
120,2022-12-08,16,3,2,0,9,8,1,1,1,12,1,6,2,7,6,2,3.0,3,1,4
121,2022-12-09,5,1,2,0,8,7,1,2,1,11,1,7,2,3,5,1,3.0,15,1,5
122,2022-12-10,4,1,2,0,7,8,1,2,1,9,1,8,3,8,5,4,3.0,4,2,4
123,2022-12-11,5,27,3,0,9,23,7,2,1,9,1,23,3,7,6,3,3.0,4,1,4
124,2022-12-12,4,3,3,0,8,8,3,1,1,11,1,8,2,5,6,2,3.0,3,1,4
125,2022-12-13,18,1,3,1,8,8,1,2,1,9,1,6,3,6,5,2,3.0,3,1,4
126,2022-12-14,5,1,3,0,8,8,1,2,1,8,1,6,2,3,5,1,3.0,4,1,5
127,2022-12-15,5,4,2,0,7,7,1,2,1,9,1,6,2,4,5,2,3.0,3,1,4
128,2022-12-16,5,2,2,0,8,7,3,2,1,12,1,20,2,4,6,5,3.0,3,1,4
129,2022-12-17,16,1,3,1,8,8,2,2,3,10,1,9,9,5,7,3,3.0,3,3,4
130,2022-12-18,7,2,3,0,9,8,1,2,1,9,1,7,4,6,5,2,3.0,4,2,4
131,2022-12-19,4,2,3,1,10,7,1,2,1,9,1,7,3,6,5,2,3.0,3,1,5
132,2022-12-20,4,2,9,1,9,7,1,2,1,9,6,8,3,6,12,2,5.0,3,1,9
133,2022-12-21,5,2,4,1,16,9,1,2,1,13,3,8,4,17,8,12,4.0,14,2,7
134,2022-12-22,5,2,3,1,11,10,1,2,1,10,1,43,42,9,6,5,3.0,6,1,4
135,2022-12-23,4,2,2,1,9,9,1,2,1,9,1,18,14,7,6,3,3.0,4,2,5
136,2022-12-24,5,2,2,1,8,8,1,2,1,8,1,8,5,5,5,3,3.0,4,2,5
137,2022-12-25,6,3,2,2,7,9,2,3,2,7,2,8,4,7,4,3,2.0,5,3,6
138,2022-12-26,34,61,4,36,20,11,13,16,12,10,17,35,5,7,18,6,9.0,50,48,17
139,2022-12-27,16,12,41,2,11,42,3,4,3,13,2,15,6,29,9,80,4.0,6,17,7
140,2022-12-28,7,3,8,1,10,15,1,2,2,71,2,10,32,13,7,24,4.0,4,3,6
141,2022-12-29,7,2,4,1,10,10,1,2,1,30,2,10,11,9,6,4,3.0,4,3,6
142,2022-12-30,8,3,4,14,12,11,2,3,2,12,51,32,5,8,7,4,4.0,4,24,7
143,2022-12-31,38,4,9,5,69,12,10,55,14,27,19,16,30,30,21,6,9.0,6,8,93
144,2023-01-01,15,45,5,2,22,45,3,8,3,13,2,10,7,12,9,52,4.0,59,3,10
145,2023-01-02,11,7,4,65,13,15,2,4,3,12,2,38,4,9,9,10,4.0,10,3,7
146,2023-01-03,34,3,48,12,29,12,2,19,14,13,9,13,5,29,34,5,4.0,5,3,6
147,2023-01-04,14,16,18,2,15,13,20,9,5,25,4,8,6,14,13,19,10.0,24,14,18
148,2023-01-05,8,7,4,1,10,61,10,5,2,16,1,9,34,10,8,9,5.0,14,6,9
149,2023-01-06,8,3,4,2,10,28,2,69,2,12,2,9,12,27,8,4,4.0,5,3,7
150,2023-01-07,9,3,7,12,23,15,13,25,7,12,9,32,7,15,17,16,9.0,29,15,65
151,2023-01-08,10,18,3,2,12,81,2,4,2,26,2,17,43,14,9,5,4.0,6,4,30
152,2023-01-09,25,5,3,1,9,19,1,3,2,13,2,8,7,13,8,3,4.0,5,2,7
153,2023-01-10,14,3,3,1,9,12,1,3,2,12,14,8,6,29,20,4,4.0,5,2,6
154,2023-01-11,9,2,3,1,9,14,1,3,3,12,7,8,27,15,11,24,39.0,5,2,22
155,2023-01-12,9,3,3,1,9,49,1,4,56,13,1,8,12,12,7,10,17.0,5,2,9
156,2023-01-13,10,25,3,1,11,27,2,4,21,34,2,8,6,14,7,5,4.0,5,3,6
157,2023-01-14,16,12,10,11,85,18,3,26,4,20,12,35,71,78,8,24,11.0,9,13,19
158,2023-01-15,60,3,4,3,21,53,57,6,28,12,3,12,10,17,24,6,5.0,82,5,8
159,2023-01-16,16,2,3,1,11,14,5,4,4,13,1,8,5,12,8,4,4.0,13,3,6
160,2023-01-17,10,2,3,1,10,12,4,3,2,12,1,28,4,10,7,5,4.0,6,3,64
161,2023-01-18,10,2,3,1,9,12,74,3,2,26,2,13,5,29,7,4,4.0,6,2,22
162,2023-01-19,12,3,3,1,11,12,32,3,2,16,1,8,33,13,7,5,3.0,68,3,6
163,2023-01-20,14,3,3,1,10,14,3,4,2,13,2,9,13,10,7,5,4.0,30,4,6
164,2023-01-21,16,17,10,2,34,79,24,18,2,14,15,46,7,12,20,21,12.0,7,18,7
165,2023-01-22,100,4,4,11,14,17,5,7,3,29,3,11,38,44,10,6,4.0,8,5,98
166,2023-01-23,22,3,3,1,10,12,2,9,39,13,1,8,6,10,7,4,4.0,40,3,8
167,2023-01-24,11,2,3,1,9,11,2,6,13,13,1,7,5,11,21,5,15.0,17,2,6
168,2023-01-25,10,2,3,1,10,12,2,6,2,13,1,8,5,27,13,73,8.0,7,2,5
169,2023-01-26,11,3,3,1,10,11,1,5,2,13,1,8,6,11,7,20,3.0,6,2,5
170,2023-01-27,42,2,4,1,12,12,1,6,2,14,1,8,33,11,8,6,4.0,6,2,5
171,2023-01-28,32,2,3,1,14,13,2,6,15,24,10,10,19,26,7,5,8.0,30,2,6
172,2023-01-29,12,3,3,1,97,13,2,6,3,13,2,35,6,15,8,5,4.0,10,3,6
173,2023-01-30,10,2,3,1,18,13,2,6,2,14,1,10,4,8,7,5,4.0,6,18,5
174,2023-01-31,14,3,3,1,12,19,2,6,2,15,2,8,5,11,24,10,16.0,6,6,5
175,2023-02-01,8,2,3,1,10,18,1,4,2,13,1,7,5,23,13,61,7.0,6,2,6
176,2023-02-02,7,2,3,1,9,14,2,4,3,12,1,7,4,14,8,22,3.0,5,2,8
177,2023-02-03,7,2,3,1,11,55,2,4,56,12,1,7,4,9,7,8,3.0,5,2,6
178,2023-02-04,48,16,10,6,28,26,94,81,19,13,14,33,9,40,24,8,7.0,7,21,66
179,2023-02-05,11,3,4,2,12,13,10,8,3,34,3,11,37,14,9,45,4.0,93,5,11
180,2023-02-06,6,2,3,1,9,10,2,4,2,19,1,7,13,10,6,9,3.0,13,2,6
181,2023-02-07,5,1,3,1,9,10,2,3,2,17,1,6,11,9,6,5,3.0,6,2,5
182,2023-02-08,6,1,3,1,9,9,2,3,13,89,1,7,9,34,6,4,3.0,5,2,5
183,2023-02-09,5,1,2,1,8,10,1,2,5,39,1,7,6,11,6,4,3.0,4,3,6
184,2023-02-10,6,2,3,1,9,11,2,2,2,15,1,7,6,7,6,4,4.0,5,3,5
185,2023-02-11,34,2,13,35,24,57,11,4,15,16,25,9,9,10,18,19,10.0,33,60,17
186,2023-02-12,10,60,4,5,11,13,3,4,3,100,4,9,39,41,9,5,5.0,9,5,7
187,2023-02-13,7,7,3,1,10,10,2,48,2,18,2,28,8,9,6,3,4.0,6,3,5
188,2023-02-14,7,2,3,1,9,12,1,20,1,13,1,15,6,8,6,3,4.0,78,2,4
189,2023-02-15,70,2,3,1,9,61,1,3,1,12,1,9,50,11,6,3,4.0,25,2,4
190,2023-02-16,21,2,3,1,8,27,1,3,1,13,1,8,16,45,6,3,4.0,5,2,5
191,2023-02-17,7,2,3,1,10,12,1,3,2,13,1,8,5,15,7,4,4.0,5,2,5
192,2023-02-18,69,95,7,7,22,45,8,16,11,24,3,31,33,17,38,66,25.0,6,3,12
193,2023-02-19,12,7,3,1,11,17,2,4,3,14,84,12,17,39,13,13,6.0,49,33,6
194,2023-02-20,7,3,3,1,10,12,2,5,2,13,6,11,5,14,8,5,3.0,9,6,4
195,2023-02-21,6,2,3,1,9,11,1,3,1,14,2,92,7,11,8,4,3.0,5,2,4
196,2023-02-22,6,2,3,1,9,12,1,3,1,12,2,32,50,12,7,3,3.0,5,2,4
197,2023-02-23,7,2,3,0,8,10,1,3,2,11,1,9,17,57,7,3,3.0,4,2,5
198,2023-02-24,8,2,3,1,9,10,2,3,29,12,2,8,5,20,8,4,4.0,5,3,24
199,2023-02-25,36,15,38,1,14,14,37,19,10,26,37,25,31,17,14,21,8.0,7,17,12
200,2023-02-26,11,4,8,1,11,62,12,4,2,12,5,14,11,68,100,5,4.0,78,5,6
201,2023-02-27,7,2,3,1,10,14,2,3,2,11,2,8,4,15,15,3,3.0,8,3,5
202,2023-02-28,7,2,3,1,22,11,1,4,18,24,14,8,22,9,7,3,3.0,5,3,5
203,2023-03-01,31,1,2,1,14,10,1,42,5,14,5,23,10,38,6,2,9.0,24,64,44
204,2023-03-02,14,1,3,1,11,9,1,14,2,11,1,13,4,15,6,2,4.0,11,24,18
205,2023-03-03,7,2,3,1,12,10,1,3,2,11,1,9,5,11,7,3,3.0,5,3,6
206,2023-03-04,54,12,64,1,29,38,11,4,2,42,10,12,35,13,44,6,11.0,27,16,25
207,2023-03-05,15,3,10,1,12,15,3,27,2,15,4,100,9,65,8,34,5.0,8,4,8
208,2023-03-06,9,2,4,16,9,11,1,4,22,11,1,28,4,21,6,4,3.0,5,2,5
209,2023-03-07,6,2,4,6,9,88,1,2,8,11,1,13,5,12,6,3,3.0,9,2,4
210,2023-03-08,7,1,3,1,10,36,1,2,2,11,1,12,5,10,6,2,3.0,91,3,4
211,2023-03-09,36,1,3,1,9,10,1,3,2,13,1,11,5,23,6,3,3.0,26,13,4
212,2023-03-10,11,1,4,1,10,11,2,3,2,14,1,11,5,12,7,3,3.0,6,4,5
213,2023-03-11,11,2,75,9,25,44,50,16,4,24,40,44,26,13,8,30,4.0,34,3,6
214,2023-03-12,38,16,7,2,11,16,9,4,58,12,5,11,9,39,22,6,58.0,8,22,25
215,2023-03-13,8,2,3,1,8,9,2,2,5,11,1,9,5,9,7,4,6.0,4,3,6
216,2023-03-14,6,1,3,1,9,9,2,2,2,10,1,13,62,8,6,2,4.0,4,2,4
217,2023-03-15,6,1,3,10,29,9,17,2,2,11,1,65,27,8,5,2,11.0,4,2,4
218,2023-03-16,44,1,3,3,15,9,6,2,2,11,1,25,6,22,6,3,5.0,4,14,4
219,2023-03-17,23,2,3,1,10,15,5,3,2,10,1,8,8,11,21,32,4.0,4,7,5
220,2023-03-18,10,15,13,11,12,47,5,39,6,26,10,10,45,12,12,12,20.0,36,4,19
221,2023-03-19,39,3,4,1,30,17,73,8,92,12,2,9,16,34,6,4,5.0,8,3,6
222,2023-03-20,8,1,3,1,12,9,6,2,15,11,1,7,6,9,6,2,3.0,4,2,5
223,2023-03-21,7,1,3,1,9,8,3,2,3,10,1,7,5,8,5,2,3.0,5,2,4
224,2023-03-22,5,1,3,1,9,11,2,2,2,10,1,6,4,8,5,2,3.0,4,2,4
225,2023-03-23,4,1,2,1,9,8,1,2,2,10,1,6,4,8,6,2,3.0,4,2,4
226,2023-03-24,5,1,3,1,9,8,1,3,1,11,1,6,3,6,6,2,3.0,4,2,4
227,2023-03-25,6,1,3,1,10,9,1,3,2,10,1,8,4,9,6,3,3.0,6,3,5
228,2023-03-26,5,2,3,1,10,10,1,2,1,9,1,7,4,7,6,2,3.0,5,2,5
229,2023-03-27,4,1,3,0,9,8,1,2,1,10,1,6,3,5,5,2,3.0,6,1,5
230,2023-03-28,4,1,3,1,9,8,1,2,1,10,1,6,3,6,6,2,3.0,4,1,5
231,2023-03-29,6,1,3,1,9,7,1,2,1,11,1,6,3,6,6,2,3.0,4,2,4
232,2023-03-30,5,1,3,1,10,11,1,2,2,10,1,7,4,6,6,2,3.0,4,1,5
233,2023-03-31,6,2,3,1,11,10,2,2,2,11,1,8,5,7,6,3,4.0,4,2,5
234,2023-04-01,38,34,9,8,27,42,11,3,11,58,8,65,49,12,7,17,4.0,5,3,14
235,2023-04-02,10,8,4,2,14,22,3,3,2,13,4,10,9,29,52,5,14.0,6,24,7
236,2023-04-03,6,3,3,1,12,17,2,33,1,12,2,8,5,8,11,3,4.0,39,3,5
237,2023-04-04,6,15,12,2,26,58,1,12,2,27,13,32,5,6,7,17,3.0,14,3,4
238,2023-04-05,6,5,4,38,14,23,1,3,2,15,4,13,5,21,20,7,3.0,4,25,4
239,2023-04-06,6,2,3,10,12,16,1,3,2,12,1,15,4,9,11,3,4.0,5,10,5
240,2023-04-07,7,2,3,2,12,13,2,4,2,10,2,10,5,7,7,3,4.0,5,3,5
241,2023-04-08,11,16,8,14,38,42,2,68,12,12,9,11,35,27,21,17,39.0,32,12,42
242,2023-04-09,83,4,4,2,13,14,27,5,2,39,3,60,12,8,8,5,8.0,7,4,9
243,2023-04-10,12,2,3,1,10,12,3,3,1,12,2,11,10,6,6,3,4.0,4,2,5
244,2023-04-11,6,2,3,1,10,18,2,2,1,11,2,8,100,8,6,3,4.0,4,2,5
245,2023-04-12,5,2,4,1,7,100,1,2,1,10,1,7,11,3,6,3,5.0,4,3,7
246,2023-04-13,6,2,4,1,7,24,1,2,1,11,1,7,3,8,6,3,5.0,4,16,5
247,2023-04-14,6,3,4,1,8,10,2,3,2,11,2,7,2,5,7,3,6.0,4,5,5
248,2023-04-15,11,38,28,9,44,34,10,13,9,11,94,9,15,4,27,6,13.0,33,5,15
249,2023-04-16,60,6,6,2,11,11,3,4,2,12,10,9,5,10,7,85,6.0,6,85,6
250,2023-04-17,9,3,4,1,7,11,2,2,2,81,2,34,3,3,6,12,5.0,4,5,5
251,2023-04-18,6,2,4,1,7,89,1,2,1,31,2,15,5,3,6,4,5.0,4,3,4
252,2023-04-19,6,2,4,1,7,27,1,2,1,12,1,9,36,4,5,3,5.0,4,3,4
253,2023-04-20,6,2,4,1,7,9,1,2,1,11,1,7,10,13,6,3,6.0,4,23,5
254,2023-04-21,63,3,5,2,8,8,2,3,3,12,2,8,5,5,7,4,98.0,5,11,5
255,2023-04-22,23,15,5,14,12,12,12,12,26,35,14,30,20,100,8,69,28.0,6,4,18
256,2023-04-23,9,4,23,2,100,9,3,4,2,11,3,10,7,21,62,10,7.0,89,24,6
257,2023-04-24,7,3,5,1,18,7,2,2,2,12,2,8,4,5,12,4,6.0,15,4,6
258,2023-04-25,10,17,4,2,9,8,15,3,14,31,13,8,5,3,7,4,6.0,7,5,17
259,2023-04-26,97,6,4,32,22,25,4,3,5,15,5,24,32,5,7,29,6.0,7,45,8
260,2023-04-27,25,3,16,8,10,14,2,27,2,11,1,11,9,10,24,10,20.0,72,12,4
261,2023-04-28,7,3,7,2,8,8,3,9,2,12,1,9,4,4,12,5,8.0,25,3,5
262,2023-04-29,8,4,5,20,34,9,42,4,3,13,2,10,5,4,8,27,6.0,8,35,35
263,2023-04-30,11,53,16,3,11,9,3,4,85,26,2,46,18,13,25,6,25.0,91,4,7
264,2023-05-01,12,5,5,1,9,9,2,33,6,15,26,14,4,3,8,5,7.0,16,3,5
265,2023-05-02,51,2,4,1,8,44,2,9,3,16,7,9,5,3,7,4,6.0,6,3,4
266,2023-05-03,17,2,4,1,8,18,2,3,43,14,2,25,16,4,7,3,5.0,4,62,4
267,2023-05-04,6,2,4,1,57,8,2,3,12,12,1,11,7,8,7,3,6.0,5,20,5
268,2023-05-05,7,2,6,2,26,8,2,2,3,14,3,10,4,4,7,3,5.0,5,3,6
269,2023-05-06,9,14,56,54,10,31,24,3,2,85,2,30,17,4,9,5,6.0,28,4,19
