Day,Burnley,Arsenal,Everton,SheffieldUtd,Brighton,Bournemouth,NewcastleUtd,Brentford,Chelsea,ManchesterUtd,NottinghamForest,Fulham,Liverpool,Wolves,Tottenham,ManchesterCity,AstonVilla,WestHam,CrystalPalace,LutonTown
2023-12-28,3,46,28,13,60,5,11,8,16,4,4,2,9,11,51,12,6,75,20,2
2023-12-29,3,20,6,15,23,5,11,3,10,4,5,2,10,8,14,6,5,30,4,2
2023-12-30,21,10,25,79,12,6,14,15,42,85,76,4,11,29,7,25,38,6,24,65
2023-12-31,4,51,7,16,10,52,13,2,10,7,17,92,11,10,51,7,8,5,4,3
2024-01-01,3,10,7,18,11,8,83,1,9,4,5,8,46,7,9,5,5,6,3,2
2024-01-02,2,7,8,13,41,5,35,1,8,3,4,3,20,5,6,5,4,44,3,1
2024-01-03,2,7,6,12,17,4,12,1,8,3,3,3,10,5,6,4,3,11,3,1
2024-01-04,2,7,32,12,9,5,11,2,8,3,3,3,10,6,6,4,3,3,38,1
2024-01-05,24,7,12,13,10,4,14,23,8,4,3,19,9,27,35,4,3,3,11,1
2024-01-06,9,10,5,25,28,12,51,6,33,5,4,7,12,10,15,6,28,5,3,2
2024-01-07,2,72,5,13,11,5,13,2,13,4,22,3,50,7,7,22,7,26,2,9
2024-01-08,2,13,4,12,9,4,11,1,9,10,3,3,13,6,6,5,3,4,2,2
2024-01-09,2,7,4,12,10,4,10,1,35,3,2,3,10,6,6,4,3,4,2,1
2024-01-10,2,6,3,11,9,4,10,1,17,3,2,66,31,5,6,4,3,3,2,1
2024-01-11,2,6,3,11,8,4,11,1,8,3,2,23,14,6,6,4,3,3,2,1
2024-01-12,21,7,4,12,10,4,12,1,9,3,3,4,8,6,6,4,3,3,2,15
2024-01-13,6,9,5,15,10,4,90,1,37,4,3,54,11,6,8,33,5,3,3,6
2024-01-14,2,9,35,11,10,4,27,1,11,13,3,5,11,6,100,11,36,5,3,1
2024-01-15,2,6,7,13,9,4,11,2,9,3,5,2,8,6,13,4,4,3,2,1
2024-01-16,2,5,5,12,8,4,10,20,8,3,3,2,7,28,5,4,2,22,2,7
2024-01-17,2,6,28,11,9,4,10,6,8,3,18,2,7,10,5,4,2,7,27,2
2024-01-18,2,6,7,11,8,4,9,2,7,3,7,2,7,6,4,4,2,3,6,1
2024-01-19,1,7,3,12,9,4,11,2,8,3,3,2,7,6,5,4,3,3,3,1
2024-01-20,2,45,5,16,10,6,11,31,9,5,21,2,10,7,6,6,3,4,100,1
2024-01-21,2,9,3,40,11,80,11,6,10,5,5,2,34,7,6,7,3,33,11,1
2024-01-22,2,6,3,13,34,14,11,2,8,3,3,2,11,23,5,4,3,4,3,1
2024-01-23,1,6,3,11,14,5,12,1,30,2,2,4,9,10,4,4,3,3,2,1
2024-01-24,1,6,3,13,9,4,10,1,19,5,3,55,29,6,4,4,3,3,2,1
2024-01-25,2,5,3,12,8,25,10,1,10,2,3,19,14,6,6,4,3,3,2,1
2024-01-26,2,7,3,17,10,11,11,1,32,4,16,4,16,7,60,23,40,4,2,1
2024-01-27,2,7,20,31,27,5,33,1,17,3,6,29,14,7,23,9,16,3,2,13
2024-01-28,2,8,8,13,11,4,15,1,10,11,4,8,35,33,6,6,5,4,3,2
2024-01-29,2,7,4,13,9,4,11,1,8,3,4,3,10,8,5,4,4,3,3,1
2024-01-30,3,28,15,23,28,4,29,2,10,2,34,15,9,7,5,4,28,4,17,19
2024-01-31,39,13,6,19,16,5,16,27,44,3,10,5,37,7,33,17,11,4,7,8
2024-02-01,12,7,5,13,10,26,10,8,19,11,6,2,18,89,13,6,3,36,3,2
2024-02-02,3,6,4,12,10,8,11,2,8,5,4,3,9,38,7,4,3,9,3,2
2024-02-03,12,8,49,39,29,5,45,2,9,3,4,14,11,8,47,6,30,4,20,41
2024-02-04,3,74,7,15,13,20,13,2,37,13,16,3,55,63,7,7,8,89,4,4
2024-02-05,2,12,3,14,10,5,10,67,10,3,4,2,12,10,4,24,3,8,2,1
2024-02-06,2,6,3,17,9,4,9,22,8,3,4,2,8,6,4,8,4,3,2,1
2024-02-07,2,6,3,13,10,4,10,2,34,3,23,2,8,6,4,4,50,2,2,1
2024-02-08,2,5,3,15,10,4,10,2,16,2,7,2,7,6,4,4,17,3,2,1
2024-02-09,3,6,4,19,11,4,10,2,8,3,3,3,8,8,5,4,4,3,2,1
2024-02-10,54,9,79,25,37,13,36,11,9,4,21,12,29,22,35,26,5,4,3,12
2024-02-11,7,56,7,13,14,5,15,3,10,13,5,3,11,10,7,7,100,96,6,2
2024-02-12,2,9,3,12,10,4,10,2,30,3,2,2,8,7,5,5,13,10,54,1
2024-02-13,2,7,3,17,10,4,10,1,17,3,2,2,9,6,4,38,3,3,25,1
2024-02-14,2,7,3,12,9,4,10,2,7,3,2,2,8,5,4,12,2,3,2,1
2024-02-15,2,6,3,12,9,4,10,2,7,3,2,2,8,5,4,4,3,3,3,1
2024-02-16,3,7,3,12,10,4,11,3,10,3,3,3,8,6,5,5,3,3,3,1
2024-02-17,50,42,4,15,12,21,30,88,62,5,15,16,40,31,31,38,20,19,3,2
2024-02-18,6,11,5,38,36,6,11,6,16,13,4,3,11,9,6,9,5,5,4,100
2024-02-19,2,7,30,14,12,4,10,3,9,4,3,2,8,6,4,5,2,3,30,10
2024-02-20,2,8,11,11,9,4,9,65,10,3,2,2,9,5,3,21,2,2,10,2
2024-02-21,2,40,4,11,9,4,9,21,9,2,2,2,34,5,4,7,2,2,2,80
2024-02-22,2,17,4,12,10,4,10,2,9,3,2,2,15,6,4,4,2,2,2,21
2024-02-23,2,7,4,13,14,5,11,2,11,3,3,2,10,6,6,4,5,3,3,2
2024-02-24,8,41,19,16,32,58,53,2,15,12,16,82,14,8,6,25,28,3,14,2
2024-02-25,3,20,5,27,13,12,26,2,100,3,3,10,81,26,5,7,5,3,4,2
2024-02-26,2,7,7,13,10,5,11,25,15,2,3,3,16,7,4,4,2,32,2,2
2024-02-27,2,6,4,11,10,22,33,9,9,2,3,2,10,6,3,25,2,12,2,79
2024-02-28,1,6,3,11,25,9,17,2,31,8,41,2,28,21,4,13,2,3,2,27
2024-02-29,1,6,3,11,15,4,10,2,15,3,15,2,14,10,4,5,2,2,2,2
2024-03-01,2,6,3,13,11,4,11,3,9,3,4,3,9,6,4,4,2,3,3,2
2024-03-02,2,9,20,15,24,5,28,38,30,4,46,16,35,25,26,9,29,16,25,25
2024-03-03,18,11,5,13,11,21,11,4,11,32,8,4,13,8,8,66,7,6,5,5
2024-03-04,2,42,3,85,10,5,9,2,8,3,3,2,9,5,4,9,3,3,2,1
2024-03-05,1,20,2,41,10,4,9,2,7,2,2,2,8,6,4,6,3,2,2,1
2024-03-06,1,9,4,13,10,4,8,1,8,3,2,2,10,7,4,33,5,3,2,1
2024-03-07,1,7,3,12,44,4,9,1,9,3,2,2,32,7,3,11,23,22,2,1
2024-03-08,1,7,4,21,18,5,9,2,8,3,2,2,14,7,4,6,7,8,2,1
2024-03-09,2,47,95,29,13,22,11,64,9,10,4,16,15,23,6,11,6,4,16,14
2024-03-10,16,21,9,13,27,5,10,13,10,4,13,3,91,9,39,66,42,25,3,2
2024-03-11,3,10,4,12,10,4,50,2,37,3,3,2,15,6,6,8,5,4,2,1
2024-03-12,2,73,3,12,10,5,22,2,18,2,2,2,9,5,4,5,3,3,2,1
2024-03-13,2,29,2,12,11,34,10,1,8,2,3,2,9,5,4,5,3,3,2,33
2024-03-14,2,8,2,11,39,10,8,1,9,3,3,2,33,5,4,4,26,37,3,8
2024-03-15,2,15,2,11,19,4,12,2,11,3,4,3,17,6,5,11,13,10,2,2
2024-03-16,17,13,4,16,11,5,66,20,12,5,18,37,14,37,40,35,6,6,2,20
2024-03-17,3,11,4,11,11,4,19,3,46,22,3,8,100,7,11,16,31,35,2,3
2024-03-18,2,7,3,11,9,4,10,1,9,6,8,2,15,6,4,6,4,4,1,1
2024-03-19,1,6,3,12,8,4,9,1,10,3,4,2,8,6,3,5,2,2,1,1
2024-03-20,2,5,2,11,9,4,9,1,7,3,2,2,7,5,3,5,2,2,1,1
2024-03-21,1,5,2,12,9,3,8,1,7,3,2,1,7,5,3,4,2,2,1,1
2024-03-22,2,5,2,13,10,4,9,1,7,2,2,1,7,5,3,4,2,2,1,1
2024-03-23,2,6,3,13,10,4,10,1,7,4,2,2,11,6,5,6,2,2,2,1
2024-03-24,1,8,4,13,11,4,9,1,8,2,2,1,9,6,4,5,5,5,2,1
2024-03-25,2,5,2,12,10,4,10,1,7,2,2,1,7,6,3,4,2,2,2,1
2024-03-26,1,5,2,11,10,4,9,1,6,2,2,1,6,5,3,4,2,2,2,1
2024-03-27,2,5,2,12,10,4,9,1,9,2,2,2,6,5,3,4,2,2,2,1
2024-03-28,2,6,3,13,11,5,10,2,7,2,2,2,7,6,3,4,2,2,2,1
2024-03-29,2,8,3,15,12,5,11,2,7,2,3,2,8,6,5,6,2,3,2,1
2024-03-30,36,12,15,24,13,14,52,68,31,9,12,14,11,24,31,11,24,52,13,27
2024-03-31,5,97,6,13,100,5,13,26,13,5,3,3,45,8,8,50,6,6,3,3
