"Add","Keyword","Search Volume (Global)","CPC (Global)","Competition (Global)","Mar 31, 2024 (Global)","Mar 30, 2024 (Global)","Mar 29, 2024 (Global)","Mar 28, 2024 (Global)","Mar 27, 2024 (Global)","Mar 26, 2024 (Global)","Mar 25, 2024 (Global)","Mar 24, 2024 (Global)","Mar 23, 2024 (Global)","Mar 22, 2024 (Global)","Mar 21, 2024 (Global)","Mar 20, 2024 (Global)","Mar 19, 2024 (Global)","Mar 18, 2024 (Global)","Mar 17, 2024 (Global)","Mar 16, 2024 (Global)","Mar 15, 2024 (Global)","Mar 14, 2024 (Global)","Mar 13, 2024 (Global)","Mar 12, 2024 (Global)","Mar 11, 2024 (Global)","Mar 10, 2024 (Global)","Mar 9, 2024 (Global)","Mar 8, 2024 (Global)","Mar 7, 2024 (Global)","Mar 6, 2024 (Global)","Mar 5, 2024 (Global)","Mar 4, 2024 (Global)","Mar 3, 2024 (Global)","Mar 2, 2024 (Global)","Mar 1, 2024 (Global)","Feb 29, 2024 (Global)","Feb 28, 2024 (Global)","Feb 27, 2024 (Global)","Feb 26, 2024 (Global)","Feb 25, 2024 (Global)","Feb 24, 2024 (Global)","Feb 23, 2024 (Global)","Feb 22, 2024 (Global)","Feb 21, 2024 (Global)","Feb 20, 2024 (Global)","Feb 19, 2024 (Global)","Feb 18, 2024 (Global)","Feb 17, 2024 (Global)","Feb 16, 2024 (Global)","Feb 15, 2024 (Global)","Feb 14, 2024 (Global)","Feb 13, 2024 (Global)","Feb 12, 2024 (Global)","Feb 11, 2024 (Global)","Feb 10, 2024 (Global)","Feb 9, 2024 (Global)","Feb 8, 2024 (Global)","Feb 7, 2024 (Global)","Feb 6, 2024 (Global)","Feb 5, 2024 (Global)","Feb 4, 2024 (Global)","Feb 3, 2024 (Global)","Feb 2, 2024 (Global)","Feb 1, 2024 (Global)","Jan 31, 2024 (Global)","Jan 30, 2024 (Global)","Jan 29, 2024 (Global)","Jan 28, 2024 (Global)","Jan 27, 2024 (Global)","Jan 26, 2024 (Global)","Jan 25, 2024 (Global)","Jan 24, 2024 (Global)","Jan 23, 2024 (Global)","Jan 22, 2024 (Global)","Jan 21, 2024 (Global)","Jan 20, 2024 (Global)","Jan 19, 2024 (Global)","Jan 18, 2024 (Global)","Jan 17, 2024 (Global)","Jan 16, 2024 (Global)","Jan 15, 2024 (Global)","Jan 14, 2024 (Global)","Jan 13, 2024 (Global)","Jan 12, 2024 (Global)","Jan 11, 2024 (Global)","Jan 10, 2024 (Global)","Jan 9, 2024 (Global)","Jan 8, 2024 (Global)","Jan 7, 2024 (Global)","Jan 6, 2024 (Global)","Jan 5, 2024 (Global)","Jan 4, 2024 (Global)","Jan 3, 2024 (Global)","Jan 2, 2024 (Global)","Jan 1, 2024 (Global)","Dec 31, 2023 (Global)"
"","liverpool","30,400,000","$0.06","0.02","623,600","779,500","545,600","467,700","467,700","467,700","467,700","623,600","701,500","467,700","467,700","545,600","623,600","1,013,300","6,937,400","1,013,300","1,091,300","2,338,500","701,500","701,500","1,091,300","7,794,900","1,481,000","1,013,300","2,182,600","779,500","701,500","701,500","935,400","2,338,500","701,500","1,013,300","2,182,600","935,400","1,481,000","6,313,800","1,325,100","935,400","1,013,300","2,494,400","701,500","545,600","779,500","2,182,600","623,600","623,600","545,600","545,600","467,700","701,500","1,948,700","467,700","467,700","545,600","545,600","779,500","3,897,400","857,400","701,500","1,091,300","2,494,400","701,500","701,500","2,260,500","1,091,300","1,403,100","857,400","2,260,500","701,500","701,500","2,338,500","701,500","467,700","467,700","545,600","467,700","545,600","779,500","779,500","623,600","935,400","2,260,500","701,500","779,500","3,351,800","779,500","701,500","545,600","623,600","1,247,200","3,117,900","779,500"
"","newcastle united","2,240,000","$0.11","0.04","72,700","281,800","50,000","36,400","31,800","31,800","40,900","40,900","50,000","31,800","36,400","31,800","45,500","50,000","122,700","454,500","68,200","63,600","45,500","100,000","313,600","54,500","86,400","54,500","45,500","0.00","63,600","54,500","63,600","131,800","59,100","50,000","59,100","245,500","31,800","100,000","368,200","86,400","27,300","40,900","50,000","50,000","90,900","218,200","86,400","50,000","50,000","27,300","36,400","40,900","309,100","27,300","50,000","31,800","54,500","27,300","68,200","340,900","63,600","81,800","104,500","281,800","68,200","86,400","222,700","86,400","36,400","72,700","59,100","77,300","63,600","59,100","68,200","72,700","100,000","40,900","72,700","118,200","363,600","54,500","77,300","59,100","59,100","50,000","86,400","177,300","81,800","59,100","81,800","109,100","250,000","72,700"
"","west ham united","550,000","$0.13","0.01","27,500","100,800","18,300","9,200","9,200","9,200","9,200","18,300","9,200","9,200","9,200","9,200","9,200","18,300","137,500","36,700","0.00","55,000","0.00","0.00","18,300","27,500","0.00","18,300","36,700","0.00","18,300","0.00","0.00","64,200","18,300","0.00","0.00","18,300","45,800","0.00","18,300","18,300","0.00","0.00","18,300","0.00","27,500","36,700","0.00","18,300","0.00","0.00","0.00","146,700","27,500","18,300","18,300","45,800","18,300","64,200","916,700","27,500","27,500","201,700","18,300","36,700","0.00","27,500","55,000","0.00","0.00","18,300","18,300","27,500","348,300","27,500","18,300","9,200","18,300","45,800","18,300","0.00","0.00","18,300","0.00","0.00","18,300","27,500","64,200","27,500","18,300","0.00","27,500","82,500","18,300","18,300"
"","tottenham hotspur","673,000","$0.20","0.01","23,200","79,100","17,700","13,600","13,600","13,600","13,600","16,400","19,100","12,300","12,300","12,300","13,600","15,000","27,300","128,200","32,700","21,800","28,600","21,800","36,800","96,800","32,700","19,100","27,300","19,100","23,200","19,100","25,900","94,100","19,100","15,000","9,500","13,600","23,200","20,500","32,700","24,500","16,400","23,200","21,800","19,100","23,200","96,800","30,000","15,000","21,800","20,500","20,500","39,500","106,400","17,700","21,800","12,300","27,300","20,500","24,500","77,700","30,000","32,700","83,200","19,100","21,800","27,300","25,900","94,100","24,500","19,100","25,900","23,200","30,000","32,700","25,900","24,500","19,100","17,700","30,000","136,400","46,400","36,800","36,800","32,700","35,500","27,300","42,300","46,400","103,600","24,500","30,000","32,700","34,100","88,600"
"","manchester city","13,600,000","$0.07","0","629,000","703,000","407,000","296,000","333,000","296,000","370,000","333,000","407,000","296,000","333,000","407,000","481,000","444,000","1,036,000","1,813,000","666,000","296,000","296,000","333,000","518,000","3,700,000","851,000","407,000","518,000","1,295,000","407,000","592,000","3,515,000","555,000","370,000","370,000","740,000","1,332,000","296,000","555,000","1,184,000","333,000","296,000","518,000","1,258,000","333,000","629,000","2,146,000","370,000","296,000","518,000","1,554,000","296,000","481,000","1,258,000","259,000","333,000","333,000","444,000","1,258,000","592,000","444,000","259,000","518,000","814,000","296,000","296,000","407,000","629,000","1,184,000","296,000","370,000","333,000","296,000","481,000","518,000","333,000","296,000","296,000","259,000","259,000","703,000","1,924,000","333,000","296,000","296,000","296,000","407,000","1,110,000","444,000","333,000","296,000","296,000","296,000","333,000","407,000"
"","nottingham forest","2,240,000","$0.18","0","47,700","186,600","27,800","23,800","23,800","23,800","51,600","19,900","23,800","31,800","19,900","23,800","51,600","115,200","35,700","262,100","43,700","19,900","19,900","31,800","23,800","87,400","51,600","0.00","23,800","19,900","27,800","39,700","91,300","397,100","55,600","91,300","293,900","27,800","15,900","39,700","226,300","19,900","19,900","35,700","35,700","31,800","51,600","139,000","23,800","31,800","23,800","27,800","31,800","59,600","353,400","43,700","87,400","274,000","27,800","59,600","270,000","83,400","63,500","99,300","135,000","349,400","35,700","27,800","27,800","83,400","27,800","39,700","39,700","35,700","55,600","333,600","35,700","71,500","202,500","27,800","51,600","23,800","15,900","15,900","19,900","19,900","19,900","15,900","119,100","35,700","27,800","23,800","43,700","27,800","35,700","158,800"
"","luton town","1,000,000","$0.08","0","81,300","501,600","27,100","13,600","13,600","13,600","13,600","13,600","13,600","13,600","13,600","13,600","13,600","27,100","40,700","393,100","40,700","122,000","542,200","27,100","13,600","40,700","230,400","13,600","13,600","13,600","13,600","27,100","67,800","447,300","27,100","40,700","257,600","1,125,100","27,100","0.00","40,700","27,100","203,300","1,287,800","40,700","135,600","1,355,600","40,700","27,100","27,100","13,600","27,100","13,600","40,700","176,200","27,100","13,600","27,100","27,100","13,600","94,900","555,800","40,700","27,100","122,000","338,900","27,100","27,100","230,400","13,600","13,600","13,600","13,600","13,600","0.00","0.00","27,100","0.00","27,100","122,000","27,100","27,100","94,900","271,100","13,600","13,600","27,100","0.00","67,800","27,100","0.00","13,600","13,600","0.00","13,600","54,200"
"","fulham","1,220,000","$0.14","0.01","34,300","130,300","13,700","20,600","13,700","13,700","13,700","13,700","13,700","13,700","13,700","13,700","20,600","27,400","89,200","541,800","20,600","27,400","13,700","27,400","13,700","27,400","171,500","27,400","13,700","27,400","13,700","20,600","27,400","144,000","20,600","27,400","20,600","13,700","34,300","54,900","562,400","20,600","13,700","20,600","13,700","13,700","20,600","150,900","27,400","13,700","13,700","27,400","6,900","27,400","144,000","13,700","20,600","6,900","20,600","13,700","27,400","157,700","27,400","27,400","34,300","157,700","34,300","48,000","281,200","34,300","116,600","685,800","41,200","20,600","27,400","20,600","20,600","20,600","27,400","13,700","20,600","48,000","342,900","34,300","157,700","644,700","41,200","34,300","27,400","54,900","185,200","27,400","27,400","34,300","68,600","679,000"
"","sheffield united","1,220,000","$0.19","0","122,000","569,300","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","40,700","81,300","40,700","40,700","40,700","81,300","0.00","122,000","854,000","244,000","81,300","162,700","813,300","4,066,700","122,000","0.00","40,700","40,700","81,300","81,300","40,700","813,300","81,300","40,700","40,700","81,300","40,700","122,000","1,342,000","122,000","81,300","40,700","0.00","81,300","40,700","0.00","366,000","122,000","81,300","0.00","81,300","0.00","122,000","1,382,700","40,700","81,300","122,000","447,300","40,700","0.00","732,000","0.00","0.00","81,300","81,300","81,300","1,016,700","81,300","0.00","81,300","0.00","40,700","0.00","81,300","81,300","81,300","0.00","0.00","40,700","0.00","81,300","244,000","81,300","0.00","81,300","40,700","81,300","244,000"
"","bournemouth","823,000","$0.25","0.02","50,000","116,700","25,000","25,000","16,700","25,000","41,700","25,000","16,700","16,700","16,700","16,700","25,000","25,000","25,000","25,000","33,300","116,700","425,000","41,700","25,000","25,000","225,000","33,300","25,000","25,000","16,700","25,000","191,700","50,000","25,000","33,300","41,700","225,000","33,300","75,000","566,700","25,000","16,700","25,000","16,700","16,700","33,300","150,000","25,000","16,700","25,000","33,300","8,300","33,300","133,300","16,700","16,700","25,000","33,300","33,300","200,000","33,300","50,000","341,700","16,700","25,000","25,000","25,000","25,000","58,300","241,700","33,300","33,300","108,300","833,300","50,000","25,000","25,000","25,000","25,000","16,700","25,000","25,000","25,000","25,000","25,000","25,000","25,000","33,300","108,300","25,000","25,000","33,300","33,300","50,000","441,700"
